1.3|0
1.08|0
0.24|0
2.05|0
3.14|0
1.11|0
0.26|0
1.88|0
1.21|0
2.68|0
1.24|0
2.88|0
0.08|0
2.15|0
2.88|0
2.64|0
3|0
2.02|0
0.46|0
2.91|0
1.13|0
1.05|0
2.81|0
2.51|0
0.38|0
1.25|0
1.65|0
1.8|0
2.99|0
1.18|0
1.77|0
1.48|0
2.73|0
2.8|0
2.67|0
2.24|0
0.66|0
0.34|0
0.88|0
0.37|0
1|0
0.82|0
2.01|0
2.69|0
0.56|0
1.52|0
2.83|0
0.02|0
2.42|0
0.92|0
2.11|0
2.31|0
2.41|0
0.04|0
2.33|0
1.71|0
0.45|0
2.41|0
0.3|0
2.17|0
1.82|0
0.26|0
1.44|0
1.85|0
0.57|0
1.15|0
1.96|0
0.65|0
2.02|0
1.82|0
2.24|0
2|0
2.78|0
2.55|0
2.72|0
1.46|0
1.71|0
1.45|0
2.31|0
0.67|0
0.74|0
2.01|0
0.2|0
1.71|0
1.42|0
0.95|0
1.22|0
2.91|0
1.58|0
0.32|0
2.88|0
2.26|0
2.49|0
0.29|0
2.81|0
2.77|0
2.66|0
1.87|0
2.87|0
0.37|0
